iter	Logloss
0	0.6852904155
1	0.6755695686
2	0.6662391637
3	0.6573332653
4	0.649023268
5	0.6418422415
6	0.6323184268
7	0.6243301738
8	0.6161979283
9	0.6093136041
10	0.6019942869
11	0.5951759784
12	0.588854782
13	0.5834603032
14	0.5773903497
15	0.5716473996
16	0.5653245698
17	0.5600491402
18	0.5551103709
19	0.5501225683
20	0.5451294422
21	0.5414377217
22	0.5370910995
23	0.5318875589
24	0.5282994748
25	0.5239961011
26	0.5204347232
27	0.5171050896
28	0.5135965322
29	0.5096399553
30	0.5062310933
31	0.5019110988
32	0.4988516595
33	0.496162586
34	0.4928423369
35	0.4898567823
36	0.4865334517
37	0.4839889278
38	0.4809508903
39	0.4775839974
40	0.4759072953
41	0.4736539537
42	0.4708423493
43	0.4685753816
44	0.466039077
45	0.4635571632
46	0.4609614169
47	0.458228534
48	0.4556442414
49	0.4529678365
50	0.4510355897
51	0.4492493047
52	0.4472933325
53	0.4454330542
54	0.4430448703
55	0.4412839367
56	0.4397117626
57	0.4381458743
58	0.4358991728
59	0.4343068829
60	0.4328754067
61	0.4310155444
62	0.4298765478
63	0.4283899995
64	0.4269056565
65	0.4254830538
66	0.4242184393
67	0.4226806697
68	0.4215586872
69	0.4203208724
70	0.4189861531
71	0.4178280475
72	0.4167528734
73	0.4154486768
74	0.4142081207
75	0.4130996252
76	0.4122187767
77	0.410688048
78	0.4097123894
79	0.4083544532
80	0.4074451258
81	0.4064789678
82	0.4059353054
83	0.4049138965
84	0.4041645338
85	0.4030312039
86	0.4020009015
87	0.4009533482
88	0.400329119
89	0.399268723
90	0.3981722539
91	0.3968637896
92	0.396100204
93	0.3951812826
94	0.3942906353
95	0.3936143137
96	0.3929630675
97	0.391934362
98	0.3914549521
99	0.390904464
100	0.3902976885
101	0.3894550165
102	0.388671974
103	0.3876662609
104	0.3871710364
105	0.3863432875
106	0.3856225083
107	0.3849339987
108	0.3841968608
109	0.3835924363
110	0.3829661144
111	0.3822636157
112	0.3818017804
113	0.3812603301
114	0.3806626403
115	0.3800322349
116	0.3795980262
117	0.3789235675
118	0.3784247844
119	0.3779597527
120	0.3771847183
121	0.3761094185
122	0.3754254937
123	0.3749889235
124	0.3744438763
125	0.3739348395
126	0.373235334
127	0.372632512
128	0.3720604635
129	0.3717497761
130	0.3710780964
131	0.3705819708
132	0.3700513409
133	0.3697469642
134	0.3693393602
135	0.3689906841
136	0.3685818653
137	0.3683595473
138	0.3678578855
139	0.3674726192
140	0.3669640578
141	0.3661845531
142	0.3655225588
143	0.3651034627
144	0.3644894324
145	0.3640179994
146	0.3634680411
147	0.3631378211
148	0.3625643483
149	0.3619433006
150	0.3616922796
151	0.3614620348
152	0.3606363863
153	0.3602056614
154	0.3599271902
155	0.3596382496
156	0.3593329061
157	0.358919809
158	0.3584182032
159	0.3581553127
160	0.357747501
161	0.3574966173
162	0.3571883087
163	0.3567337885
164	0.3564993834
165	0.3560548581
166	0.3556289297
167	0.3552307281
168	0.3549160035
169	0.3544791702
170	0.3538901196
171	0.353599036
172	0.3531480957
173	0.3528211977
174	0.3524646649
175	0.3521509466
176	0.3518364842
177	0.3514050912
178	0.3511889366
179	0.350744377
180	0.3504393603
181	0.3500394929
182	0.3493270643
183	0.3489539154
184	0.3482040011
185	0.3478681525
186	0.347462788
187	0.3472399374
188	0.3468609875
189	0.3464616878
190	0.3458637221
191	0.3453858643
192	0.3449516504
193	0.3444756409
194	0.3440999942
195	0.3436693896
196	0.3434693191
197	0.3432321187
198	0.3429543532
199	0.3427740239
200	0.3422399504
201	0.3420024289
202	0.3415934383
203	0.3412717114
204	0.3409536841
205	0.3407114918
206	0.3402946237
207	0.339800125
208	0.339495066
209	0.3391505113
210	0.3389344482
211	0.3386780374
212	0.3382454126
213	0.3380393082
214	0.337497033
215	0.3372603588
216	0.3370269963
217	0.3364965592
218	0.3361698475
219	0.3356545618
220	0.3353978279
221	0.3348496128
222	0.3346675021
223	0.3342816633
224	0.3341333723
225	0.3336699383
226	0.3333379504
227	0.33297479
228	0.3328098114
229	0.3324294152
230	0.3321394588
231	0.3319020007
232	0.3315655038
233	0.331107793
234	0.3308121242
235	0.330558015
236	0.3304122377
237	0.3297469293
238	0.3294305616
239	0.3290286582
240	0.3286649627
241	0.3281988363
242	0.3277862437
243	0.3276244219
244	0.327399023
245	0.3272220997
246	0.3269250487
247	0.3267513011
248	0.3264271094
249	0.3261646052
250	0.3257287723
251	0.3253655319
252	0.3252049964
253	0.325066714
254	0.3247189202
255	0.3242427521
256	0.3240608502
257	0.3238868206
258	0.3235771003
259	0.3231382102
260	0.3228693066
261	0.3222690134
262	0.3220458764
263	0.321885893
264	0.3214154871
265	0.3211226162
266	0.3210002002
267	0.3207773778
268	0.3205700671
269	0.3203237152
270	0.3199766362
271	0.3197713645
272	0.3195797045
273	0.3194148569
274	0.3189813183
275	0.3186857634
276	0.3184874704
277	0.3183176212
278	0.3181101517
279	0.3179289239
280	0.3177423851
281	0.3175464596
282	0.3173857926
283	0.3171599418
284	0.3168987654
285	0.3165324838
286	0.3162737183
287	0.316020787
288	0.3157481711
289	0.3153582725
290	0.3150398429
291	0.3147068657
292	0.3146266225
293	0.3144401973
294	0.3142608146
295	0.3139097718
296	0.3136358796
297	0.3132559681
298	0.3129625698
299	0.3125566787
300	0.3122616905
301	0.3120894936
302	0.311930091
303	0.3116150289
304	0.3111810604
305	0.3107703245
306	0.3102605285
307	0.3100760098
308	0.3097713117
309	0.3095821715
310	0.3093121908
311	0.3089879745
